"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"LevendGeborenKinderen_2";"Overledenen_3";"TotaleVestiging_4";"VestigingVanuitEenAndereGemeente_5";"Immigratie_6";"TotaalVertrekInclAdmCorrecties_7";"VertrekNaarAndereGemeente_8";"EmigratieInclusiefAdmCorrecties_9";"OverigeCorrecties_10";"Bevolkingsgroei_11";"BevolkingsgroeiRelatief_12";"BevolkingsgroeiSinds1Januari_13";"BevolkingsgroeiSinds1JanuariRela_14";"BevolkingAanHetEindeVanDePeriode_15"
"120922";"GM0845";"2008JJ00";"28100";"283";"231";"1250";"1147";"103";"1134";"1039";"95";"-1";"167";"0.59";"167";"0.59";"28267"
"120935";"GM0845";"2009JJ00";"28267";"244";"215";"864";"773";"91";"1026";"933";"93";"4";"-129";"-0.46";"-129";"-0.46";"28138"
"120948";"GM0845";"2010JJ00";"28138";"231";"233";"926";"822";"104";"949";"878";"71";"1";"-24";"-0.09";"-24";"-0.09";"28114"
"120961";"GM0845";"2011JJ00";"28114";"255";"212";"940";"860";"80";"967";"905";"62";"-2";"14";"0.05";"14";"0.05";"28128"
"120974";"GM0845";"2012JJ00";"28128";"224";"236";"1008";"895";"113";"1085";"990";"95";"1";"-88";"-0.31";"-88";"-0.31";"28040"
"120987";"GM0845";"2013JJ00";"28040";"192";"232";"1152";"1048";"104";"1029";"944";"85";"-2";"81";"0.29";"81";"0.29";"28121"
"121000";"GM0845";"2014JJ00";"28121";"248";"259";"1406";"1276";"130";"1121";"1034";"87";"0";"274";"0.97";"274";"0.97";"28395"
"121013";"GM0845";"2015JJ00";"28395";"221";"286";"1328";"1231";"97";"1257";"1137";"120";"2";"8";"0.03";"8";"0.03";"28403"
"121026";"GM0845";"2016JJ00";"28403";"228";"258";"1397";"1254";"143";"1185";"1103";"82";"-1";"181";"0.64";"181";"0.64";"28584"
"121039";"GM0845";"2017JJ00";"28584";"233";"315";"1554";"1463";"91";"1383";"1267";"116";"0";"89";"0.31";"89";"0.31";"28673"
"121052";"GM0845";"2018JJ00";"28673";"243";"280";"1524";"1392";"132";"1170";"1085";"85";"1";"318";"1.11";"318";"1.11";"28991"
"121065";"GM0845";"2019JJ00";"28991";"273";"279";"1409";"1256";"153";"1185";"1103";"82";"-1";"217";"0.75";"217";"0.75";"29208"
"121078";"GM0845";"2020JJ00";"29208";"263";"288";"1583";"1465";"118";"1268";"1199";"69";"0";"290";"0.99";"290";"0.99";"29498"
"121100";"GM0846";"2002JJ00";"17113";"209";"122";"431";"386";"45";"573";"506";"67";"-24";"-79";"-0.46";"-79";"-0.46";"17034"
"121113";"GM0846";"2003JJ00";"17034";"224";"125";"398";"370";"28";"555";"513";"42";"6";"-52";"-0.31";"-52";"-0.31";"16982"
"121126";"GM0846";"2004JJ00";"16982";"187";"130";"484";"464";"20";"603";"535";"68";"8";"-54";"-0.32";"-54";"-0.32";"16928"
"121139";"GM0846";"2005JJ00";"16928";"206";"129";"579";"554";"25";"550";"492";"58";"13";"119";"0.7";"119";"0.7";"17047"
"121152";"GM0846";"2006JJ00";"17047";"171";"124";"629";"558";"71";"551";"492";"59";"-1";"124";"0.73";"124";"0.73";"17171"
"121165";"GM0846";"2007JJ00";"17171";"151";"132";"640";"555";"85";"611";"538";"73";"1";"49";"0.29";"49";"0.29";"17220"
"121178";"GM0846";"2008JJ00";"17220";"168";"119";"625";"564";"61";"478";"419";"59";"11";"207";"1.2";"207";"1.2";"17427"
"121191";"GM0846";"2009JJ00";"17427";"176";"138";"677";"594";"83";"459";"407";"52";"-3";"253";"1.45";"253";"1.45";"17680"
"121204";"GM0846";"2010JJ00";"17680";"176";"121";"522";"439";"83";"437";"377";"60";"-2";"138";"0.78";"138";"0.78";"17818"
"121217";"GM0846";"2011JJ00";"17818";"172";"130";"522";"460";"62";"473";"417";"56";"1";"92";"0.52";"92";"0.52";"17910"
"121230";"GM0846";"2012JJ00";"17910";"170";"157";"544";"449";"95";"545";"513";"32";"-1";"11";"0.06";"11";"0.06";"17921"
"121243";"GM0846";"2013JJ00";"17921";"172";"152";"557";"456";"101";"564";"482";"82";"0";"13";"0.07";"13";"0.07";"17934"
"121256";"GM0846";"2014JJ00";"17934";"156";"146";"637";"502";"135";"645";"583";"62";"1";"3";"0.02";"3";"0.02";"17937"
"121269";"GM0846";"2015JJ00";"17937";"154";"146";"612";"547";"65";"660";"582";"78";"-1";"-41";"-0.23";"-41";"-0.23";"17896"
"121282";"GM0846";"2016JJ00";"17896";"147";"172";"724";"598";"126";"678";"576";"102";"-25";"-4";"-0.02";"-4";"-0.02";"17892"
"121295";"GM0846";"2017JJ00";;;;;;;;;;;;;;;
"121308";"GM0846";"2018JJ00";;;;;;;;;;;;;;;
"121321";"GM0846";"2019JJ00";;;;;;;;;;;;;;;
"121334";"GM0846";"2020JJ00";;;;;;;;;;;;;;;
"121356";"GM1883";"2002JJ00";"97953";"928";"958";"3838";"3236";"602";"3975";"3073";"902";"20";"-147";"-0.15";"-147";"-0.15";"97806"
"121369";"GM1883";"2003JJ00";"97806";"990";"1015";"3511";"3030";"481";"3862";"3136";"726";"57";"-319";"-0.33";"-319";"-0.33";"97487"
"121382";"GM1883";"2004JJ00";"97487";"906";"968";"3438";"2872";"566";"3863";"3037";"826";"55";"-432";"-0.44";"-432";"-0.44";"97055"
"121395";"GM1883";"2005JJ00";"97055";"867";"949";"3653";"3188";"465";"3998";"3144";"854";"35";"-392";"-0.4";"-392";"-0.4";"96663"
"121408";"GM1883";"2006JJ00";"96648";"820";"949";"3515";"3041";"474";"3812";"3008";"804";"23";"-403";"-0.42";"-403";"-0.42";"96245"
"121421";"GM1883";"2007JJ00";"96245";"766";"982";"3535";"2998";"537";"3889";"3116";"773";"16";"-554";"-0.58";"-554";"-0.58";"95691"
"121434";"GM1883";"2008JJ00";"95691";"809";"970";"3598";"2992";"606";"3815";"3047";"768";"14";"-364";"-0.38";"-364";"-0.38";"95327"
"121447";"GM1883";"2009JJ00";"95327";"828";"949";"3361";"2829";"532";"3343";"3015";"328";"19";"-84";"-0.09";"-84";"-0.09";"95243"
"121460";"GM1883";"2010JJ00";"95243";"781";"977";"3226";"2705";"521";"3451";"2988";"463";"-8";"-429";"-0.45";"-429";"-0.45";"94814"
"121473";"GM1883";"2011JJ00";"94814";"812";"932";"3321";"2721";"600";"3488";"2968";"520";"8";"-279";"-0.29";"-279";"-0.29";"94535"
